title,year,url,authors,abstract
A Distinctive Shape of Cadastral Parcels Bordering the Młynówka River in Strzelce Wielkie,2020,https://www.semanticscholar.org/paper/00092bfbdc07431c984953cdc0e71d6a02cdb769,A. Bitner; U. Litwin; S. Bacior; Jarosław Taszakowski; K. Król; P. Basta,"Morphological analysis is a widely used method, applied in many scientific disciplines: ecology, biology, hydrology, geodesy and cartography, geology, medicine, and in urban geography. The term “morphology” has different meanings in different disciplines. In geodesy and cartography it means, generally speaking, studying the geometric properties of objects in space. In this research a digital cadastral map was submitted for analysis. This paper presents the morphological analysis of the structure created by the borders of cadastral parcels located in Strzelce Wielkie. In particular, the relationship between the perimeter and the area of the parcels bordering the Młynówka River flowing through the village was determined. The analysis indicates that a typical parcel situated on the Młynówka River has a significantly elongated shape similar to the shape of parcels located in urban areas. The calculated coefficient of parcel shape demonstrates that parcels bordering the river are seen as attractive and that the river bank is used in the most optimal way."
The value of social media wildlife sightings for elusive species monitoring: a population assessment of servals in a South African urban nature reserve,2025,https://www.semanticscholar.org/paper/001dd10b968cbb3ef419682e973e6ad4f59ec484,Kyle Smith; M. J. Somers,"
 Data sourced from social media platforms is an underutilised resource for wildlife research, especially in studying enigmatic species. This study evaluates the potential of such data to provide population and behavioural insights into an elusive species, the serval (Leptailurus serval), from Rietvlei Nature Reserve, an urban protected area in South Africa. We collected 153 visitor sightings of servals within the reserve from different online platforms spanning from June 2011 to August 2024, from which we identified 30 different individual servals, including three long-term residents. Analysis of these sightings revealed a stable serval population with evidence of reproduction within the reserve and migration through a permeable border fence. Behavioural information from the sightings, such as prey captured and habitat use, align with existing knowledge of serval ecology. Even though data sourced from passive contributions by the public generally falls short in terms of data quality and detail, this study demonstrates that a well-supported social media community can be a valuable source of behavioural and basic population data of elusive species in a specific protected area. This approach allows for cost-effective wildlife research that is beneficial to both wildlife management and the formulation of conservation strategies."
Šiuolaikinės urbanistikos teorijos ir praktikos tendencijos – kiek jos aktualios ir taikomos Lietuvoje,2020,https://www.semanticscholar.org/paper/0020b98609f952cac4741e93f25087bc0d5c34ec,Vaiva Deveikienė,
Where economic parity meets ecology: Neither biodiversity nor ecosystem integrity values relate to wealth in the context of a medium-sized Finnish city,2023,https://www.semanticscholar.org/paper/002223943614047cfbe9b081bddece032ad2b15b,Sini Rautjärvi; I. MacGregor‐Fors,"Ecological conditions are heavily influenced by human–environment interactions, which is why understanding the relationships between people and nature is crucial. While earlier studies have indicated a pattern of positive correlations between economic wealth and biodiversity in urban areas, there are some examples that suggest that such associations are more intricate than initially presumed. In this study, we aimed to assess whether such a relation holds in Lahti, a medium-sized city in southern Finland, considering two biodiversity proxies (i.e., bird and woody plant species richness) and the Urban Ecosystem Integrity Index (UEII) of the city. Our results show no clear relationship between economic wealth (average annual income per statistical area) reported for 2019 and the two assessed biodiversity proxies and the UEII. These findings shed new light on the “luxury effect” in urban areas and reveal the nature of such relationship in highly green cities embedded in economic parity scenarios."
“Heed the Mute Language of Nature”: An Ecosemiotic Approach to Urban Wildlife Photography as Translation of Solastalgia,2023,https://www.semanticscholar.org/paper/0022b2322aeb1c7e8cd2c017e5994bbc20aca317,Xany Jansen van Vuuren; Helen-Mary Cawood,"ABSTRACT This paper attempts to conceptualise urban wildlife photography as so-called intersemiotic translation by reconceptualising the photographer as a translator who acts as “a mediator in an experiential process that allows the recipient (viewer, listener, reader or participant) to re-create the sense […] of the source artefact for him or herself” (Bennett 2019, 3). By reframing the focus from an anthropocentric ethic to a biocentric ethic on the loss of place and belonging experienced by non-human animals in urban ecologies, in particular, this paper intends to explore the role of urban wildlife photography as translation of solastalgia in re-evaluating our current human values towards the natural world. Originally defined as “distress that is produced by environmental change impacting on people while they are directly connected to their home environment” (Albrecht et al. 2007, S95), solastalgia, it is argued in this paper, should be extended to include the experience of the non-human as well. Photography, it is argued here, is one way in which this experience can be critically depicted and translated to a human audience. By means of an interdisciplinary discussion between Translation Studies and Critical Theory (through Walter Benjamin and Bernard Stiegler), we attempt to provide an ecosemiotic exploration of the conceptual grounding of urban wildlife photography as intersemiotic translation."
Evaluation of Urban Space Livability in the Urban Area of Hefei Based on Production-Living-Ecological Space,2024,https://www.semanticscholar.org/paper/0026966aaf36e2d8dbc731484a994aac4f10cbdb,Zhang Quan; Huijuan Nie; Xiaoying Li,"Abstract: Building livable urban space is an important component of urban construction. The evaluation of urban space livability is of great significance for urban sustainable development. The study measured the level of urban spatial livability in the urban area of Hefei from the spatial perspective of production-living-ecological space (PLES), using spatial analysis methods, to provide new ideas for the construction of livable urban spatial and to promote the coordination of urban spatial elements and spatial optimization. Firstly, this study constructed the evaluation model for urban spatial livability from three perspectives: Comfortable living, convenient production and ecological health. Secondly, using the evaluation model for urban spatial livability, the global spatial autocorrelation analysis method and the coupling coordination degree model, the single factor differentiation of urban space livable potential, comprehensive livable degree and the coupling degree of PLES in the urban area of Hefei were analyzed, respectively. Finally, this study discusses the coordination of PLES elements of the urban space in Hefei urban area, and puts forward spatial optimization strategies. The results show three important aspects of this system. (1) In terms of the single-factor livability of living, production and ecology, there are significant differences in the spatial distribution characteristics of the livability of the Hefei urban area. There is a spatial clustering of living comfort areas in the center, a spreading of production convenience areas from the center to the periphery, and a scattering of ecological health areas around the perimeter. (2) The overall livability of the urban space in Hefei is high. In terms of space, it shows the characteristics of high in the middle and low around the periphery, and the high-value area of livability is mainly concentrated in the urban center. (3) The coupling coordination degree of PLES in the urban area of Hefei is high in the city center and low around the city. The coupling coordination degree of life-production is the highest, which indicates that the spatial layout of these two elements has certain rationality and achieves benign coordination."
Research on Landscape Design of Mining Parks under the Perspective of Ecological Concepts,2023,https://www.semanticscholar.org/paper/002eef925c8e8ccac1446fa61a830b9baa93e87a,Zhou Jia; Kim Soo-bong,": Mining parks have gradually attracted widespread attention as a special type of urban green space. These parks are usually built in former mining areas, where abandoned mines are re-planned and transformed into places for public recreation, entertainment and education. The landscape design of mine parks presents unique challenges and opportunities, as it requires the integration of nature restoration, cultural preservation, ecological sustainability, and urban planning. This study aims to explore how mine parks can be designed and planned under an ecological conceptual perspective to achieve sustainable transformation of mining areas and improve the quality of urban environments. Mining areas were once centers of resource extraction, but over time many mines have been abandoned, leaving a large ecological imprint. In order to reintegrate these areas into natural ecosystems, the concept of mine parks was born. With the growing importance of ecological protection and sustainable development, the concept of ecology has become one of the core principles in the field of landscape design. Landscape design for mine parks is no exception to the need to incorporate ecological concepts in order to create landscapes that are environmentally friendly, sustainable and socially meaningful."
"Urban ecologies on the edge: Making Manila's resource frontierKristian KarloSaguinUniversity of California Press Oakland, 2022. 216 pp., paperback $37.95 (ISBN 978‐0520382664)",2023,https://www.semanticscholar.org/paper/004647237915c7a5aad73378770efc5fc8777006,Morgan Mouton,
A Descriptive Study on the Phenotypic Variability of Pseudomonas aeruginosa Identified by MALDI-TOF,2024,https://www.semanticscholar.org/paper/005e169e4d78efaff1beeead9cd2bc9363ecbc77,Tetty Aya Marie Pascale; Konan Fernique; Kady Ouattara; Y. Eric; V. Sabine; C. Julien,"This descriptive study investigates the phenotypic variability of 50 Pseudomonas aeruginosa colonies isolated from wastewater, identified using MALDI-TOF mass spectrometry. The contamination of wastewater by opportunistic pathogens like P. aeruginosa poses significant public health risks due to their potential to cause severe infections and contribute to the spread of antimicrobial resistance. Pseudomonas aeruginosa is particularly concerning because of its remarkable adaptability, resilience, and intrinsic and acquired antibiotic resistance mechanisms, including the production of beta-lactamases, efflux pumps, and target site mutations. Our study highlights the phenotypic diversity and antibiotic resistance profiles of P. aeruginosa strains isolated from urban and hospital environments. Using MALDI-TOF MS, we rapidly and accurately characterized these strains, providing species-level identification within minutes. This technology surpasses traditional biochemical methods in speed and accuracy, revolutionizing microbial diagnostics by offering a high-throughput, cost-effective, and reliable tool. By analyzing the phenotypic traits and resistance mechanisms of these strains, we aim to provide critical insights into their ecology and inform strategies to mitigate the risks associated with their presence in the environment. The antibiotic resistance profiles revealed varied susceptibility among the strains, with notable resistance to drugs such as erythromycin, cefoxitin, and tetracycline. The study's findings underscore the importance of integrating advanced diagnostic technologies like MALDI-TOF MS into routine environmental monitoring and public health strategies to address the challenges posed by P. aeruginosa in wastewater. Ultimately, this research contributes to understanding the dynamics of contamination and resistance in urban environments. By detailing the methodology used for the identification and characterization of the strains, as well as the results obtained, this publication aims to provide a valuable database for researchers and practitioners engaged in combating nosocomial infections and environmental pollution by P. aeruginosa. This study highlights the need for effective management measures to control the dissemination of this pathogen in aquatic systems, promoting public health and environmental safety."
"A dead letter? Urban conservation, management, and planning strategies from the Mexican urban bird literature",2020,https://www.semanticscholar.org/paper/007b5036c848e9e38ff45f04ba685cbdf54db96d,I. MacGregor‐Fors; M. Gómez-Martínez; M. García-Arroyo; C. A. Chávez-Zichinelli,
